Jak se učí SOM;Jak se učí SOM.png

Definice neuronových sítí;Definice neuronových sítí.png

Gradient learning;Gradient learning.png

Perceptron;Perceptron.png

Jak zhruba funguje ADAM;Jak zhruba funguje ADAM.png

Co je momentum;Co je momentum.png

Algoritmus perceptronu;Algoritmus perceptronu.png

Použití;Použití.png

Co to je cross entropy loss;Co to je cross entropy loss.png

Jak napočítám chybu pro zpětné šíření u neuronu ve skryté vrstvě;Jak napočítám chybu pro zpětné šíření u neuronu ve skryté vrstvě.png

Backpropagation;Backpropagation.png

